project,risk_band,risk_score,label,model,temp,temp_risk,tool_count,has_info_get,has_web_search,tool_names,memory_type,window_size,memory_risk,anti_hal_count,anti_hal_markers,forbidden_count,forbidden_markers,lang_rule_count,sys_prompt_len,has_condition,n_guards,n_sales,n_nodes,n_edges,chatflow_id
CRM AI,MED,55,Agente Disponibilidad,gpt-5.2,0.3,MED,1,True,False,info_disponibilidad,allMessages,(none),MED,0,,0,,2,0,True,0,1,7,6,f1008f5a-6846-4861-93be-483158041dcf
CRM AI,MED,55,Agente cotizacion,gpt-5.2,0.3,MED,6,True,False,"info_unidades_cotizar, info_planes_pago, customTool, customTool, customTool, customTool",allMessages,(none),MED,0,,0,,2,0,True,0,1,7,6,f1008f5a-6846-4861-93be-483158041dcf
CRM AI,MED,55,Agente Reportes,gpt-5.2,0.5,MED,5,True,False,"customTool, customTool, customTool, info_unidades_reportes, customTool",allMessages,(none),MED,0,,0,,2,0,True,0,1,7,6,f1008f5a-6846-4861-93be-483158041dcf
CRM AI,MED,55,Agente general,gpt-5.2,0.5,MED,6,True,False,"customTool, customTool, customTool, info_disponibilidad, info_get, customTool",allMessages,(none),MED,0,,0,,2,7858,True,0,1,7,6,f1008f5a-6846-4861-93be-483158041dcf
Novotech - Silao,LOW,25,Novotech Silao Multilingual Q&A,gpt-5.2,0.1,LOW,2,False,False,"Novotech_Silao_data_retriever, disponibilidad_lotes_checker",windowSize,20,LOW,0,,3,STRICTLY FORBIDDEN PHRASES; nunca reveles que; never reveal you are consulting,2,8511,False,0,0,2,1,915db78f-f8d8-4754-a963-f82d9bde87af
Novotech La Paz,LOW,25,Novotech La Paz Multilingual Q&A,gpt-5.2,0.1,LOW,2,False,False,"Novotech_La_Paz_data_retriever, disponibilidad_lotes_checker",windowSize,20,LOW,0,,1,nunca reveles que,0,8048,False,0,0,2,1,526a971a-9f0e-40dc-bd90-f50205233071
Novotech Mision Punta Norte,LOW,25,Misión Punta Norte Multilingual Q&A,gpt-5.2,0.1,LOW,6,False,False,"MPN_data_retriever, disponibilidad_loreto, disponibilidad_del_pilar, disponibilidad_california, disponibilidad_san_ignacio, disponibilidad_todos_santos",windowSize,20,LOW,0,,1,nunca reveles que,0,6131,False,0,0,2,1,31d01ff6-a2d2-4035-8e5d-a481c89dff0b
Novotech SSEISO,LOW,25,Novotech SSEISO Multilingual Q&A,gpt-5.2,0.1,LOW,2,False,False,"Novotech_SSEISO_data_retriever, disponibilidad_lotes_checker",windowSize,20,LOW,0,,3,STRICTLY FORBIDDEN PHRASES; nunca reveles que; never reveal you are consulting,2,8472,False,0,0,2,1,8d2fd269-fe3e-4be3-85e6-3bf437dd0143
WTC,LOW,20,🏢 Agent Available Spaces WTC (Multilingual),gpt-5.2,0.2,LOW,0,False,False,,windowSize,20,LOW,1,manejo de incertidumbre,0,,0,2562,True,1,0,10,9,a2dbda66-1339-43ae-9c67-d97f30c198ac
LST La Santisima,LOW,18,🛒 Amazon Shopping Assistant (Multilingual),gpt-5.2,0.1,LOW,0,False,False,,windowSize,(none),?,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,2,nunca reveles que; nunca reveles que estás consultando,1,5085,True,1,1,6,5,80f70d3a-4e14-49cf-b743-7ca9dd841a70
LST Los Senderos,LOW,18,🛒 Amazon Shopping Assistant (Multilingual),gpt-5.2,0.1,LOW,0,False,False,,windowSize,(none),?,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,2,nunca reveles que; nunca reveles que estás consultando,1,5065,True,1,1,6,5,068df4e5-073c-45f0-996d-34dc4f886ec5
LST San Francisco,LOW,18,🛒 Amazon Shopping Assistant (Multilingual),gpt-5.2,0.1,LOW,0,False,False,,windowSize,(none),?,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,2,nunca reveles que; nunca reveles que estás consultando,1,5087,True,1,1,6,5,20ff6f90-c014-4b05-8207-6ab08a7da8e0
LST San Lucas,LOW,18,🛒 Amazon Shopping Assistant (Multilingual),gpt-5.2,0.1,LOW,0,False,False,,windowSize,(none),?,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,2,nunca reveles que; nunca reveles que estás consultando,1,5047,True,1,1,6,5,453117e4-c239-4299-8721-0c9528b4fec2
LST Santa Catalina,LOW,18,🛒 Amazon Shopping Assistant (Multilingual),gpt-5.2,0.1,LOW,0,False,False,,windowSize,(none),?,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,2,nunca reveles que; nunca reveles que estás consultando,1,5097,True,1,1,6,5,89cfc791-b99a-493d-bc15-fd27ae5df45b
Xerena,LOW,10,Xerena Cabo Tezal Multilingual Q&A,gpt-5.2,0.1,LOW,1,False,False,Xerena_data_retriever,windowSize,20,LOW,3,ANTI-INFERENCIA; manejo de incertidumbre; prohibición de promesas,0,,1,5453,True,1,1,5,4,8f27f59a-91df-47c8-a5e5-a03bafccbfff
Lst Providencia Coahuila,LOW,8,Viñedo Providencia  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,(none),?,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,4711,True,1,1,5,4,f6cdb4f5-b9cd-4a12-a943-6f02633aba13
Punta Cuerna,LOW,8,Punta Cuerna Multilingual Q&A,gpt-5.2,0.1,LOW,2,True,False,"info_get, rules_get",windowSize,(none),?,3,ANTI-INFERENCIA; manejo de incertidumbre; prohibición de promesas,0,,1,3836,True,1,1,5,4,4470ba7a-a20f-405e-8afd-c82417b26c0b
WTC,LOW,8,👔 Agent Professional Services (Multilingual),gpt-5.2,0.1,LOW,2,False,False,"Directorio_Oficinas, rules_get",windowSize,(none),?,1,manejo de incertidumbre,2,STRICTLY FORBIDDEN PHRASES; never reveal you are consulting,1,6208,True,1,0,10,9,a2dbda66-1339-43ae-9c67-d97f30c198ac
Aerolíneas Ejecutivas ALE,LOW,5,Aerolíneas Ejecutivas ALE Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,2,ANTI-INFERENCIA; no inventes,0,,1,2252,True,1,1,5,4,82ee9777-2d5f-49e9-9998-850eb5063928
Alvar,LOW,5,Alvar Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,4617,True,1,1,5,4,1d1bcd7e-bd02-41e0-9095-57b5bbc7b2bc
Anahuac Orientador Vocacional,LOW,5,Anáhuac Orientador Vocacional,gpt-5.2,0.1,LOW,2,False,False,"Anahuac_oferta_academica, Anahuac_red_licenciaturas",windowSize,20,LOW,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,4,NUNCA menciones que consultaste; NUNCA uses frases como; nunca reveles que; nunca reveles que estás consultando,1,26281,True,1,0,4,3,4c84d4c6-2df9-4d60-ac7e-6c9a78608f1c
Ara Dream Diamante,LOW,5,Dream Diamante Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5889,True,1,1,5,4,85cd093a-8aab-4b70-9172-efae11009402
Archandel,LOW,5,Archandel Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5071,True,1,1,5,4,a8ea193e-d6f1-4235-bec2-6a8772a1fd83
Bosques de Tepepan,LOW,5,Bosques de Tepepan  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5091,True,1,1,5,4,10cbfacc-3b22-4c21-9bfd-4493c3018294
Club de Golf,LOW,5,Villa Fairway Multilingual Q&A,gpt-5.2,0.1,LOW,2,True,False,"info_get, rules_get",windowSize,20,LOW,3,ANTI-INFERENCIA; manejo de incertidumbre; prohibicion de promesas,0,,2,6026,True,1,1,5,4,fdc8d4ea-5abe-44f7-bcef-56027ec591f1
Coronado,LOW,5,Coronado Los Cabos Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5089,True,1,1,5,4,938763d0-4ca0-4681-9b03-5289d2464e64
GGI Miyana Residencial,LOW,5,GGI Miyana Residencial Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5097,True,1,1,5,4,1f2946d8-6362-4ba4-9d6b-880f7f147f65
GGI Palmas Uno,LOW,5,GGI Palmas Uno Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5081,True,1,1,5,4,41caee1a-6ab0-4edf-b2c9-162cda9dcc83
Gran Terraza Coapa,LOW,5,Gran Terraza Coapa Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,0,4091,True,1,1,5,4,df4d386c-1024-4c49-8743-3002b9e384f0
Hideaways,LOW,5,Hideaways Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5071,True,1,1,5,4,e23e1850-dd98-4f48-9fa8-4a8488497a4d
KIO,LOW,5,KIO  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5061,True,1,1,5,4,2bc49a0b-5459-4dab-b9a6-f4080c43371c
LST - Providencia,LOW,5,Viñedo Providencia  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,6474,True,1,1,5,4,72575c98-67c8-4fa6-827a-20d27195d1d8
Los Nogales,LOW,5,Los Nogales Residencial Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,0,4453,True,1,1,5,4,dbdf8dd3-a3a5-4dbb-9e7b-9b996cc4f98b
Mahi Residencial,LOW,5,Mahi Residencial Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,0,4463,True,1,1,5,4,49f64056-46a3-4c94-bc4b-0e075b988c96
Mavila,LOW,5,Mavila Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,4621,True,1,1,5,4,b8ba1115-3649-4dfc-89e3-090126e726bd
Mita Map,LOW,5,Mita Map Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5069,True,1,1,5,4,291b78cb-1192-4daa-95fa-b14316d63489
Mozaiko Lindavista,LOW,5,Mozaiko Lindavista Residencial Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,0,4467,True,1,1,5,4,78eca94c-d9ef-465d-8dcc-6f4585435311
Nauma Lomas,LOW,5,Nauma Lomas Residencial Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5238,True,1,1,5,4,35f364ba-9e93-45f6-9d9f-f0c160b9c994
Prologis - Lerma,LOW,5,Prologis Lerma Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5889,True,1,1,5,4,cdc81199-bde0-452c-99de-7c74f8e597fc
Punta Zero,LOW,5,Punta Zero Centro Comercial Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,0,4109,True,1,1,5,4,c1c75382-f36e-4346-a06b-1bc68b3f115a
Quivira,LOW,5,Quivira Los Cabos Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5087,True,1,1,5,4,ab8abc17-c8c3-4898-b594-872896959b17
Torre Alhena,LOW,5,Torre Alhena Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,0,4537,True,1,1,5,4,0a9363a3-8cfa-4e0c-b5d4-9d228a60cdb2
Torre Zero Centro de Neogcios,LOW,5,Torre Zero Centro de Negocios Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,0,4288,True,1,1,5,4,25811504-b1df-46be-8543-a6d17a5e347f
Torre Zero Providencia,LOW,5,Torre Zero Providencia Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,0,4274,True,1,1,5,4,9b968405-d68a-42ed-9d4d-1da1bac36fbf
Vesta Park,LOW,5,Vesta Park  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5075,True,1,1,5,4,58d9f2cd-8518-4f83-b65f-b7ec0aceb760
Virreyes,LOW,5,Virreyes Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5069,True,1,1,5,4,1868dfd5-4647-4dbe-902b-759b18891515
Volterra,LOW,5,Volterra Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5069,True,1,1,5,4,fdb7ec02-e05d-4007-9cc1-e2efbbed2345
WE WORK,LOW,5,WE WORK Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5067,True,1,1,5,4,987464b9-dec9-416c-a007-165c91b8848c
WTC,LOW,5,🛍️ Agent Shopping Center (Multilingual),gpt-5.2,0.1,LOW,2,False,False,"Directorio_Centro_Comercial, rules_get",windowSize,20,LOW,1,manejo de incertidumbre,2,STRICTLY FORBIDDEN PHRASES; never reveal you are consulting,1,7981,True,1,0,10,9,a2dbda66-1339-43ae-9c67-d97f30c198ac
Wingate,LOW,5,The Wingate School Multilingual Q&A,gpt-5.2,0.1,LOW,1,False,False,Wingate_data_retriever,windowSize,20,LOW,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,2,nunca reveles que; nunca reveles que estás consultando,1,5321,True,1,1,5,4,709f8ea9-8cb8-48f0-9a64-00166c50dfb9
koppi,LOW,5,koppi Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,4,ANTI-INFERENCIA; no inventes; manejo de incertidumbre; prohibición de promesas,0,,1,5063,True,1,1,5,4,90b046f2-2b56-4ad1-9fc5-abcd229de895
plataformaNauma,LOW,5,Nauma Availability Agent,gpt-5.2,0.1,LOW,1,False,False,get_disponibilidad,windowSize,10,LOW,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,2,nunca reveles que; nunca reveles que estás consultando,0,5137,True,1,1,6,5,756dd2f3-7f9a-4684-b3c3-10a096b96e9b
Nativas,LOW,3,Nativas Multilingual Q&A,gpt-5.2,0.1,LOW,2,True,False,"info_get, rules_get",windowSize,(none),?,6,ANTI-INFERENCIA; no inventar; información pendiente; nunca inferir; manejo de incertidumbre; prohibición de promesas,1,STRICTLY FORBIDDEN PHRASES,2,9193,True,1,1,5,4,9325bc13-9725-4215-8bfb-455cfa67f768
Reserva Castilla,LOW,3,Reserva Castilla Multilingual Q&A,gpt-5.2,0.1,LOW,2,True,False,"info_get, rules_get",windowSize,(none),?,3,ANTI-INFERENCIA; manejo de incertidumbre; prohibición de promesas,2,STRICTLY FORBIDDEN PHRASES; never reveal you are consulting,2,4285,True,1,1,5,4,74813737-0ed3-4e82-a1ce-9ed90d879632
TU - Apodaca Park 1,LOW,3,TU Park Apodaca I - Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,(none),?,4,ANTI-INFERENCIA; nunca inferir; manejo de incertidumbre; prohibición de promesas,1,STRICTLY FORBIDDEN PHRASES,2,8363,True,1,1,5,4,e8bd16da-abaa-4f1a-b278-82f7a02e969e
WTC,LOW,3,🏢 Agent Info General WTC (Multilingual),gpt-5.2,0.1,LOW,3,True,False,"Informacion_General_WTC, rules_get, pepsi_events",windowSize,(none),?,2,no inventes; manejo de incertidumbre,2,STRICTLY FORBIDDEN PHRASES; never reveal you are consulting,1,9231,True,1,0,10,9,a2dbda66-1339-43ae-9c67-d97f30c198ac
WTC,LOW,3,🏢 Agent Access Regulations WTC (Multilingual),gpt-5.2,0.1,LOW,2,True,False,"Informacion_Reglamento_Accesos_WTC, rules_get",windowSize,(none),?,1,manejo de incertidumbre,2,STRICTLY FORBIDDEN PHRASES; never reveal you are consulting,1,6169,True,1,0,10,9,a2dbda66-1339-43ae-9c67-d97f30c198ac
WTC,LOW,3,🏢 Agent Info owners WTC (Multilingual),gpt-5.2,0.1,LOW,2,True,False,"Informacion_Manual_Adecuaciones_WTC, rules_get",windowSize,(none),?,1,manejo de incertidumbre,2,STRICTLY FORBIDDEN PHRASES; never reveal you are consulting,1,6487,True,1,0,10,9,a2dbda66-1339-43ae-9c67-d97f30c198ac
WTC,LOW,3,🏢 Agent WTC PARKING REGULATIONS (Multilingual) (5),gpt-5.2,0.1,LOW,2,True,False,"Informacion_Reglamento_Estacionamiento_WTC, rules_get",windowSize,(none),?,1,manejo de incertidumbre,2,STRICTLY FORBIDDEN PHRASES; never reveal you are consulting,1,5699,True,1,0,10,9,a2dbda66-1339-43ae-9c67-d97f30c198ac
Brisas Ixtapa,LOW,0,Brisas Ixtapa  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,7,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; do not invent; información pendiente; information pending; fuente única; nunca uses conocimiento general,3,STRICTLY FORBIDDEN PHRASES; nunca reveles que; nunca reveles que estás consultando,2,7915,True,1,0,4,3,ea0aed0d-f699-46da-8a2b-1ed0a096682e
GGI Agwa Bosques,LOW,0,GGI Agwa Bosques Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,3,ANTI-INFERENCIA; manejo de incertidumbre; prohibición de promesas,1,STRICTLY FORBIDDEN PHRASES,2,8054,True,1,1,5,4,c39f8afe-8030-429e-93cf-ff8ff1f6a276
LST La Santisima,LOW,0,La Santisima Trinida  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,9,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; no inventes; información pendiente; information pending; fuente única; nunca uses conocimiento general; manejo de incertidumbre; prohibición de promesas,2,nunca reveles que; nunca reveles que estás consultando,1,7875,True,1,1,6,5,80f70d3a-4e14-49cf-b743-7ca9dd841a70
LST Los Senderos,LOW,0,Barrica de fuego  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,9,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; no inventes; información pendiente; information pending; fuente única; nunca uses conocimiento general; manejo de incertidumbre; prohibición de promesas,2,nunca reveles que; nunca reveles que estás consultando,1,7870,True,1,1,6,5,068df4e5-073c-45f0-996d-34dc4f886ec5
LST San Francisco,LOW,0,Viñedo San Francisco  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,9,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; no inventes; información pendiente; information pending; fuente única; nunca uses conocimiento general; manejo de incertidumbre; prohibición de promesas,2,nunca reveles que; nunca reveles que estás consultando,1,7880,True,1,1,6,5,20ff6f90-c014-4b05-8207-6ab08a7da8e0
LST San Lucas,LOW,0,Viñedo San Lucas  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,9,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; no inventes; información pendiente; information pending; fuente única; nunca uses conocimiento general; manejo de incertidumbre; prohibición de promesas,2,nunca reveles que; nunca reveles que estás consultando,1,7852,True,1,1,6,5,453117e4-c239-4299-8721-0c9528b4fec2
LST Santa Catalina,LOW,0,Viñedo Santa Catalina  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,9,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; no inventes; información pendiente; information pending; fuente única; nunca uses conocimiento general; manejo de incertidumbre; prohibición de promesas,2,nunca reveles que; nunca reveles que estás consultando,1,7887,True,1,1,6,5,89cfc791-b99a-493d-bc15-fd27ae5df45b
NIZUC,LOW,0,Nizuc  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,4,STRICTLY FORBIDDEN PHRASES; nunca reveles que; nunca reveles que estás consultando; never reveal you are consulting,2,6263,True,1,0,4,3,cd55ce82-5916-4117-aa3a-98ebd5d0c890
Quvira Showroom,LOW,0,Quivira Multilingual Q&A,gpt-5.2,0.1,LOW,5,True,False,"Quivira_data_retriever, Quivira_info, coronado_get, mavila_info, informacion_general",windowSize,20,LOW,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,4,STRICTLY FORBIDDEN PHRASES; nunca reveles que; nunca reveles que estás consultando; never reveal you are consulting,2,6188,True,1,0,4,3,829ec95a-36ff-4c59-b62a-ac4ff2dbf0fd
Ribra - Arcos Bosques,LOW,0,Ribra - Arcos Bosques  Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,4,STRICTLY FORBIDDEN PHRASES; nunca reveles que; nunca reveles que estás consultando; never reveal you are consulting,2,6391,True,1,0,4,3,a95732cc-5c32-4958-95e2-055d1d33c316
SLS - Residences,LOW,0,"SLS - Residences, yacht & sail club  Multilingual Q&A",gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,4,STRICTLY FORBIDDEN PHRASES; nunca reveles que; nunca reveles que estás consultando; never reveal you are consulting,2,7353,True,1,0,4,3,156a0ea9-c2b4-413e-995f-348a9be512f3
Terralago,LOW,0,Terralago Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,4,STRICTLY FORBIDDEN PHRASES; nunca reveles que; nunca reveles que estás consultando; never reveal you are consulting,3,5148,True,1,0,4,3,f98edc6a-940e-40d4-88b7-986e8813965a
plataformaNauma,LOW,0,Plataforma (Nauma Lomas) Multilingual Q&A,gpt-5.2,0.1,LOW,1,True,False,info_get,windowSize,20,LOW,8,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general; manejo de incertidumbre; prohibición de promesas,2,nunca reveles que; nunca reveles que estás consultando,1,7816,True,1,1,6,5,756dd2f3-7f9a-4684-b3c3-10a096b96e9b
